year,imdb,title,clean_test,budget_2013$,binary_PASS,domgross_2013$,genres,prod_comps,overview,perc_women_producers,perc_women_directors
2013,tt1711425,21 &amp; Over,notalk,13000000,0,25682380.0,['Comedy'],"['Mandeville Films', 'Relativity Media', 'SkyLand Entertainment', 'Virgin Produced']","Brilliant student Jeff Chang has the most important interview of his life tomorrow.  But today is still his birthday, what starts off as a casual celebration with friends evolves into a night of debauchery that risks to derail his life plan.",0.0,0.0
2012,tt1343727,Dredd 3D,ok,45658735,1,13611086.0,"['Action', 'Science Fiction']","['Rena Film', 'DNA Films', 'Reliance Big Entertainment', 'IM Global', 'Peach Trees']","In the future, America is a dystopian wasteland. The latest scourge is Ma-Ma, a prostitute-turned-drug pusher with a dangerous new drug and aims to take over the city. The only possibility of stopping her is an elite group of urban police called Judges, who combine the duties of judge, jury and executioner to deliver a brutal brand of swift justice. But even the top-ranking Judge, Dredd, discovers that taking down Ma-Ma isn’t as easy as it seems in this explosive adaptation of the hugely popular comic series.",0.0,0.0
2013,tt2024544,12 Years a Slave,notalk,20000000,0,53107035.0,"['Drama', 'History']","['New Regency Pictures', 'Plan B Entertainment', 'River Road Entertainment', 'Regency Enterprises', 'Film4 Productions']","In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",0.25,0.0
2013,tt1272878,2 Guns,notalk,61000000,0,75612460.0,"['Action', 'Comedy', 'Crime']","['Universal Pictures', 'Marc Platt Productions', 'EFO Films', 'Envision Entertainment', 'TriStar Pictures', 'Stage 6 Films', 'Foresight Unlimited', 'Oasis Entertainment', 'Herrick Entertainment', 'BOOM! Studios', 'Empyre Media Capital']",A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.,0.0,0.0
2013,tt0453562,42,men,40000000,0,95020213.0,['Drama'],"['Warner Bros. Pictures', 'Legendary Pictures']","The powerful story of Jackie Robinson, the legendary baseball player who broke Major League Baseball’s color barrier when he joined the roster of the Brooklyn Dodgers. The film follows the innovative Dodgers’ general manager Branch Rickey, the MLB executive who first signed Robinson to the minors and then helped to bring him up to the show.",0.0,0.0
2013,tt1335975,47 Ronin,men,225000000,0,38362475.0,"['Drama', 'Action', 'Fantasy']","['Mid Atlantic Films', 'Stuber Productions', 'Moving Picture Company', 'H2F Entertainment', 'Universal Pictures', 'Relativity Media']","Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors.",0.3333333333333333,0.0
2013,tt1606378,A Good Day to Die Hard,notalk,92000000,0,67349198.0,"['Action', 'Thriller']","['Mid Atlantic Films', 'Ingenious Media', 'Dune Entertainment', 'Big Screen Productions', 'Temple Hill Entertainment', 'TSG Entertainment', 'Giant Pictures', 'Origo Film Group', '20th Century Fox']","Iconoclastic, take-no-prisoners cop John McClane, finds himself for the first time on foreign soil after traveling to Moscow to help his wayward son Jack - unaware that Jack is really a highly-trained CIA operative out to stop a nuclear weapons heist. With the Russian underworld in pursuit, and battling a countdown to war, the two McClanes discover that their opposing methods make them unstoppable heroes.",0.0,0.0
2013,tt2194499,About Time,ok,12000000,1,15323921.0,"['Drama', 'Romance', 'Fantasy']","['Working Title Films', 'Translux', 'Universal Pictures', 'Relativity Media']","The night after another unsatisfactory New Year's party, Tim's father tells his son that the men in his family have always had the ability to travel through time. They can't change history, but they can change what happens and has happened in their own lives. Thus begins the start of a lesson in learning to appreciate life itself as it is, as it comes, and most importantly, the people living alongside us.",0.3333333333333333,0.0
2013,tt1814621,Admission,ok,13000000,1,18007317.0,"['Comedy', 'Drama', 'Romance']","['Focus Features', 'Depth of Field']","Straitlaced Princeton University admissions officer, Portia Nathan is caught off-guard when she makes a recruiting visit to an alternative high school overseen by her former college classmate, the freewheeling John Pressman. Pressman has surmised that Jeremiah, his gifted yet very unconventional student, might well be the son that Portia secretly gave up for adoption many years ago.",0.0,0.0
2013,tt1815862,After Earth,notalk,130000000,0,60522097.0,"['Science Fiction', 'Action', 'Adventure']","['Columbia Pictures', 'Overbrook Entertainment', 'Blinding Edge Pictures', 'Sony Pictures']","One thousand years after cataclysmic events forced humanity's escape from Earth, Nova Prime has become mankind's new home. Legendary General Cypher Raige returns from an extended tour of duty to his estranged family, ready to be a father to his 13-year-old son, Kitai. When an asteroid storm damages Cypher and Kitai's craft, they crash-land on a now unfamiliar and dangerous Earth. As his father lies dying in the cockpit, Kitai must trek across the hostile terrain to recover their rescue beacon. His whole life, Kitai has wanted nothing more than to be a soldier like his father. Today, he gets his chance.",0.25,0.0
